"","BT.cases","BT","BT"
"1",11039412.7973424,16556453.8230659,16590346.8409141
"2",11036571.112467,16528487.1020714,16578867.3256413
"3",11022286.8253829,16511423.0455211,16560262.2197928
"4",11009437.6450777,16485988.2427969,16544309.0525069
"5",10993923.1957639,16466772.2989653,16524334.3569678
"6",10976237.6990712,16436944.4094814,16502673.4970327
"7",10964987.7019502,16399911.0757535,16453680.3588992
"8",10949116.4994299,16346425.1239447,16440318.2769777
"9",10943864.3451839,16314618.1856519,16419958.135074
"10",10939219.8312403,16268641.7855809,16400932.2004656
"11",10919344.1924875,16243029.1926468,16370912.3738211
"12",10887875.7564364,16195341.3181562,16319372.9173138
"13",10867112.6563682,16146837.8772095,16273468.789462
"14",10839089.1251315,16084403.6052467,16232309.3418528
"15",10812923.4213349,16011807.9234848,16182940.7427283
"16",10768079.911351,15935229.562439,16123061.5635391
"17",10725938.1495136,15859282.5927955,16068736.2180274
"18",10689023.0508472,15791342.527211,16019839.865402
"19",10644998.5736559,15706225.8902718,15940741.2190228
"20",10598459.4404538,15624590.4179155,15864065.0477489
"21",10568789.1885412,15543775.4661909,15806656.5259845
"22",10531463.4234526,15451124.3180024,15762381.8026926
"23",10510294.4734561,15362312.2755451,15749504.8347982
"24",10491991.7540934,15284454.2402476,15755920.9074634
"25",10489805.6268018,15210493.9916404,15759393.6761784
"26",10509690.7695924,15140545.9305492,15767290.2251055
"27",10522671.6418467,15103734.2814799,15793786.1728713
"28",10546847.1590709,15067935.9485881,15841277.3157798
"29",10591709.0845407,15056848.5943454,15888623.5540355
"30",10629381.1959709,15031998.7747143,15947153.3559897
"31",10660913.3928142,15041292.2586799,15416347.695523
"32",10551177.9099142,15207441.4884151,15371772.3887507
"33",10650153.4259207,15159887.9638514,15440507.0413197
"34",10697579.0771149,15201640.1633135,15439510.8074521
"35",10785977.2616087,15105279.1387289,15479415.6786465
"36",10894205.8126168,15150153.1430536,15512207.8170233
"37",10873278.8246528,15306721.5519053,16008385.8706175
"38",10896309.0259879,15708703.7849734,15791231.2834577
"39",10688303.427188,15645044.4443809,15677486.4400006
"40",10441870.3295613,15759303.3202877,15477048.2743032
"41",10450141.9178357,15430798.2600273,15417051.1529358
"42",10628374.8131507,15417039.8044962,15700218.901332
"43",10564596.8374148,15327359.249916,15803294.7201383
"44",10579903.6374193,15393750.6219168,15756873.4318169
"45",10502339.7311795,15526342.2418416,15801332.5326821
"46",10718654.1770571,15613614.6573886,15944340.1119455
"47",10830008.9193127,15590776.6422941,15876819.1835603
"48",10787990.6205552,15336551.4235131,15584658.1512312
"49",10854293.1064654,15379669.313455,15755058.8019708
"50",10981992.3150428,15358848.7013521,15898721.5795994
"51",10848163.8071752,15327259.8258835,15842845.5452379
"52",10940012.6146342,15522488.5235149,15837028.229034
"53",10863590.6943362,15667939.829328,15622539.0190801
"54",10907147.9732199,15649350.9099925,15433155.7966036
"55",10859227.0494156,15696198.4389476,15620398.3315863
"56",10629245.7266211,15851395.7084834,15954087.9075005
"57",10723801.1856029,15676675.4891209,16076194.7768168
"58",10768592.5506232,15714475.8811156,15906695.1747899
