"","N1.cases","",""
"1",52949660.5151208,77134603.6450144,106252924.725274
"2",43952394.4543368,65928591.6815052,65928591.6815052
"3",37031680.3008717,55547520.4513075,55547520.4513075
"4",31200697.0935494,46801045.6403242,46801045.6403242
"5",26287856.5383519,39431784.8075278,39431784.8075278
"6",22148588.5173969,33222882.7760954,33222882.7760954
"7",18661086.8252906,27991630.2379359,27991630.2379359
"8",15722724.7789405,23584087.1684108,23584087.1684108
"9",13247035.223012,19870552.834518,19870552.834518
"10",11161166.0616721,16741749.0925081,16741749.0925081
"11",9403736.44057511,14105604.6608627,14105604.6608627
"12",7923030.49297632,11884545.7394645,11884545.7394645
"13",6675475.49735385,10013213.2460308,10013213.2460308
"14",5624359.66329744,8436539.49494616,8436539.49494616
"15",4738751.81395943,7108127.72093914,7108127.72093914
"16",3992591.17457265,5988886.76185898,5988886.76185898
"17",3363920.48224957,5045880.72337436,5045880.72337436
"18",2834239.84979113,4251359.7746867,4251359.7746867
"19",2387962.36966106,3581943.55449159,3581943.55449159
"20",2011955.4381883,3017933.15728245,3017933.15728245
"21",1695154.30254876,2542731.45382314,2542731.45382314
"22",1428236.45837658,2142354.68756488,2142354.68756488
"23",1203347.31650626,1805020.97475939,1805020.97475939
"24",1013869.06604299,1520803.59906449,1520803.59906449
"25",854225.932096921,1281338.89814538,1281338.89814538
"26",719720.097502128,1079580.14625319,1079580.14625319
"27",606393.460190226,909590.190285338,909590.190285338
"28",510911.158153934,766366.737230901,766366.737230901
"29",430463.434490717,645695.151736075,645695.151736075
"30",362682.954709935,544024.432064902,544024.432064902
