"","R.cases","R","R"
"1",52949660.5151208,77134603.6450144,106252924.725274
"2",58761095.9022509,69403092.3024512,79660037.2286346
"3",49118278.7885328,81163561.0191088,74435123.2191171
"4",51581576.2456329,75394522.5055419,78281722.4270203
"5",50409246.4103044,82897256.1365898,76206788.7233215
"6",49923431.7026272,75403688.7813734,76584611.1054639
"7",57039785.079094,71812389.4291599,55193434.686977
"8",54067549.4273502,60952755.4646497,90464448.1432508
"9",64589418.8507302,84310369.0205152,85890812.8304853
"10",65553133.0564258,74917905.9080187,88967996.5201309
"11",52889357.8505141,96415254.9733991,81105382.0264424
"12",44779063.7150453,79689846.3934171,65022735.6676996
"13",56926773.5258313,83288246.0706754,74093748.8021626
"14",52702651.7339929,75808398.2014546,81964679.6474203
"15",56947788.402354,72763885.8311789,78541514.3784049
"16",43270959.1195038,75479196.9970327,74130661.1876794
"17",49359862.8725315,81320784.4874882,84578087.0948235
"18",56708064.5205658,91418047.4069509,94061274.9179579
"19",51678173.7500347,76896417.5286366,70668842.8853081
"20",49328740.981013,80200601.0978673,73150261.1091943
"21",61880917.9059737,80566505.185011,83096731.735999
"22",50294759.5733202,69914150.5783455,80572049.5391598
"23",58668802.4004938,73226781.4281914,89693870.8914488
"24",53004091.3077594,81142608.6973703,87365778.0379726
"25",57356892.2677244,79133969.1481033,69470629.8971396
"26",65645029.7961168,73272594.314882,64156760.6850384
"27",49425855.5668303,90354511.270677,75109457.2801126
"28",52800538.17527,78788516.5227846,88960167.9713111
"29",66147890.5512058,91931587.3312841,83908761.9397999
"30",55236866.3930735,74245799.4976946,89053558.1618632
"31",61045075.6383551,81297515.6025676,100472407.807357
"32",45120870.1014966,73116876.9200529,69523068.2131167
"33",54860521.0211786,90700369.4192961,73135947.2483431
"34",47542554.6281816,65646905.4778325,78608498.1959448
"35",56676871.6370996,81079511.1534312,74972862.199421
"36",56672380.859249,73357895.3031301,72455217.5638728
"37",68353146.2423273,99234010.5712398,68454658.3872601
"38",52551694.6720641,96333443.7350463,69955039.5202124
"39",47799632.3384286,89467830.6223229,93234859.0640981
"40",51508098.1546097,75547636.375072,86368992.4995185
"41",56836472.2392559,80235387.8682176,77894138.6062756
"42",51120327.4691701,73013585.0852453,77296354.371892
"43",53261036.1518614,75206345.3630192,65957461.227889
"44",48268849.9602717,79774601.0363602,74949378.026113
"45",46092486.6716107,74504249.6543583,93264488.7456354
"46",50908602.8581671,73350007.4119857,91676255.5612307
"47",54526658.1088926,78171542.0699282,93278276.6649685
"48",49432764.6548175,67084469.8705051,83802062.2793337
"49",52492779.1000083,78539305.7222618,70872821.1088067
"50",55340954.722845,80415306.3671153,78832052.1110085
"51",52720129.3306865,79626325.4370641,80079289.445475
"52",42935036.1272501,81293279.2637283,80986676.9032588
"53",45980944.0214062,81615327.0486672,72879074.0619349
"54",50491044.0442702,73005985.9933487,70780335.7303409
"55",49005853.5736698,93984828.4578969,77574805.2579893
"56",51235865.9649327,75167351.8283041,87274053.125451
"57",48809678.0896591,91797691.4529546,79633926.8091555
"58",60280039.7514793,77633630.4213997,76355800.3255649
"59",47861538.7216576,80450351.6517654,72807808.6591225
"60",58524973.8923951,71831358.5680143,73376982.0998408
"61",54427353.1488402,81460945.325431,84922930.3508597
"62",57342409.4098812,82763642.0728904,68424758.0133763
"63",52306298.3341611,80155781.5468667,81616612.8345086
"64",41010656.2365372,79479280.585273,73459054.8809762
