"","SBT.cases","SBT","SBT"
"1",10000000.0011144,14999999.9984133,15000000.0398459
"2",9996425.19164356,14993507.7448007,14993559.523838
"3",9991125.19925864,14984955.8263917,14983249.5339069
"4",9983724.73400702,14973958.8922937,14968674.0258451
"5",9973853.93372834,14959926.5679113,14949945.5125998
"6",9961253.67082041,14942096.0849596,14927467.3466443
"7",9945884.98155809,14919767.1662805,14901653.4263603
"8",9927903.80882378,14892546.4181281,14872882.0555718
"9",9907557.16162517,14860305.4425667,14842382.965988
"10",9885387.49524581,14822502.9822251,14817595.5357004
"11",9863447.06579891,14776254.7765459,14816251.1212207
"12",9844038.27749244,14717828.2413606,14807229.7827828
"13",9817083.15592989,14658439.8146733,14769691.2374189
"14",9781227.77171917,14598341.1680475,14722176.9606733
"15",9741085.0199892,14534916.3911454,14668614.2968779
"16",9697908.22334782,14460771.5056233,14602402.3675327
"17",9658630.29077641,14366991.0129519,14514625.4807441
"18",9623645.62237041,14256791.3025764,14440305.1619789
"19",9599105.90878513,14157623.5050139,14387353.1547403
"20",9583261.2932444,14073590.4525505,14338403.6970612
"21",9556893.23055475,14006249.9458111,14286866.0993882
"22",9517492.89198453,13941066.7540245,14227167.121389
"23",9487582.61859858,13867247.0551747,14183123.6358813
"24",9472329.34359997,13786803.4122,14172942.983203
"25",9467137.46960836,13702374.5962631,14183380.4422211
"26",9462789.49845636,13629167.3290199,14202079.9004744
"27",9464900.55651741,13581382.980261,14238527.321339
"28",9484561.27772667,13561292.9921981,14294429.6933055
"29",9510891.02139862,13546374.6850418,14339740.0435869
"30",9538313.00878718,13528827.0097578,14374842.5712049
"31",9560992.03274057,13535460.269529,13815634.1863891
"32",9460389.02289169,13696973.305969,13785930.5097608
"33",9557663.17704702,13620076.6678217,13875889.4331025
"34",9613042.78534699,13669219.0314353,13890714.0987636
"35",9703092.9434152,13567863.7098102,13926971.9670899
"36",9821649.70999749,13613997.5424171,13938114.2747995
"37",9788714.64564449,13753868.2850613,14425805.9221362
"38",9810389.55073306,14146254.8771442,14224574.026439
"39",9620199.70667499,14082068.0731052,14113748.7451475
"40",9390466.81762831,14203063.7454105,13931191.6782946
"41",9404425.58133624,13867713.7047297,13908262.681355
"42",9582312.94310484,13853639.9088111,14206572.5614993
"43",9510556.25149072,13767996.2714967,14315907.5951655
"44",9523912.74736872,13823332.9042426,14269095.2399707
"45",9453216.51901311,13945706.6165545,14291702.5144746
"46",9683124.03229237,14033671.163545,14405427.0083634
"47",9815903.45144461,14032381.5888828,14297526.8616457
"48",9793552.28787266,13833192.3286745,13977770.3285102
"49",9859214.9075453,13911770.8647154,14160839.3898815
"50",9981337.91652681,13903829.2355541,14321201.9487334
"51",9851794.43942952,13874831.1659757,14267778.1037171
"52",9958977.36260732,14064481.636762,14249545.2401992
"53",9891940.3355627,14200788.1707854,14018502.7351388
"54",9934797.79275097,14186980.6206466,13820408.0755214
"55",9882145.42883456,14212786.6808679,14020871.706122
"56",9648483.0983822,14362012.7007888,14376292.8232832
"57",9749243.82364384,14162030.9635918,14530812.8125846
"58",9786816.34629313,14183284.191292,14385341.4114674
"59",9539370.89087965,13930488.2875425,14311103.2876007
"60",9506716.54792655,14041550.6499146,14112837.2909595
"61",9341315.74392495,14016994.4688561,13652457.3439916
"62",9490193.63641378,14166548.1098289,13817095.2346123
"63",9438624.56023597,13955406.41249,13910956.8579655
"64",9546877.60728921,14254522.9832909,13887934.858678
"65",9472566.60847946,14266964.9371873,13949854.9917006
"66",9392532.88472546,14447023.2293724,14089004.603828
"67",9053537.79496539,14093074.5825884,14329658.2592865
"68",9030064.51510054,13760036.0674109,14551616.2266789
"69",9106219.87879653,13528156.6573571,14282294.2481484
"70",9111774.49516324,13562681.0129616,14133694.0938934
"71",9006599.40290924,13504751.552542,14163057.9884467
"72",9013180.66128644,13604299.0111544,14203623.5845973
"73",8966389.69543497,13666902.5830202,14495019.6027532
"74",9008282.54912583,13635057.6491021,14626188.9792301
"75",9106073.0720344,13711567.5166645,14379642.9157204
"76",9124381.18279939,13822449.9880551,14134216.7032799
"77",9077946.61778875,13836497.4376658,13820781.7766464
"78",9137413.25080222,14091969.3750867,13682993.9107991
"79",9128413.71725924,14132639.6879216,13808814.1517135
"80",9058221.1130971,14147571.1483847,13770461.3178018
"81",9034762.09774179,14195253.4876686,13695443.6095223
"82",9216931.38774325,14208733.6896951,13606051.3491839
"83",9357817.9624169,14203276.5143883,13686922.2373052
"84",9409574.19079331,14378309.5185647,13821783.4786966
"85",9490319.1596477,14120678.825586,13830218.9628882
"86",9534841.816566,14235571.0558191,13631325.7979034
"87",9638691.13778285,14012784.5003463,13577328.520941
"88",9500088.08362739,14073064.1641698,13585384.9438707
"89",9614792.86045652,14070847.8126919,13668862.2035049
"90",9514966.00375539,14244623.678139,13746469.4592228
"91",9499152.29208896,14219157.0517995,13595891.0361578
"92",9421903.66313644,14171846.1946437,13789666.5721663
"93",9447236.72724322,14184621.60636,13695928.5198802
"94",9714300.07062132,14205548.2780766,13761463.2249455
"95",9730872.55349647,14241748.3478744,13508895.6582171
"96",9735831.41982611,14178822.3758341,13642905.1908576
"97",9568966.57644758,14356487.0365392,13643744.8289085
"98",9491157.43265582,14299494.1116808,13656626.6016673
"99",9522005.67006112,14440178.708408,13736438.6553805
"100",9368262.86794739,14326743.7056934,13799945.9035468
"101",9388581.75084339,14115932.5903065,14104934.49698
"102",9405867.49270188,13999639.2050005,13940842.0955879
"103",9249724.74202559,14043921.7726291,14107158.7814078
"104",9307813.0522555,13952761.1076753,14074951.7134665
"105",9369957.42176386,13960935.3464806,14082148.2824471
"106",9338850.19592363,13972973.5749915,14057522.8031044
"107",9327957.04002948,13873484.6826136,14038420.0457502
"108",9408562.25006002,13782347.0364121,14056666.2729023
"109",9463876.42857273,13855509.0830601,14039433.9740963
"110",9485048.36392195,13835305.8203764,14200701.10005
"111",9450058.10596106,14173389.1303041,13909876.5623429
"112",9416350.27631104,14079733.4213401,13841913.739579
"113",9318364.19987266,14120052.8138141,14024987.7296719
"114",9321332.96381916,14246026.845705,14088269.2398681
"115",9462685.21562745,14343958.5293999,14348539.4209837
"116",9361393.38178925,14601357.9620913,14294324.4707114
"117",9253967.45623984,14556281.4384922,14415005.2863638
"118",9346015.40014037,14650697.450493,14297753.6541755
"119",9377514.07668865,14594665.4367101,14273446.8877426
"120",9394756.93609272,14658388.4015988,14313901.6529481
"121",9458371.7642955,14465974.978778,14119806.8326977
"122",9265465.67649765,14630749.2442936,14097318.869391
"123",9133094.37102883,14540367.9306428,14370125.6225178
"124",9357214.04092043,14503675.4580533,14389270.1146845
"125",9377545.25036071,14734826.5516266,14144654.8027949
"126",9348772.80576625,14942855.3727766,13974849.212439
"127",9420240.60622238,14877526.0493452,13951761.3340297
"128",9358154.71060557,14659432.5722143,14034211.4209357
"129",9306505.21533795,14554850.1994567,14054882.73277
"130",9240538.07823141,14723143.9187701,14103650.0327679
"131",9204696.58863402,14557024.657424,14230015.0130861
"132",9207061.32443802,14698261.6065613,14191034.6176552
"133",9152751.09306192,14547881.171343,14180037.2532911
"134",9157268.99832395,14677478.9204845,14347614.2749513
"135",9198476.07117713,14795020.4390894,14168822.8857764
"136",9350579.36986677,14734400.5243065,14109673.0104896
"137",9302285.80119682,14446022.366724,14210221.5715474
"138",9409906.78764523,14564416.3765034,13967932.7407932
"139",9236473.92288048,14527019.9399951,14034420.3465124
"140",9288765.51412867,14324679.0428719,14164083.6807306
"141",9377017.49206547,14442526.0507496,14068711.8218585
"142",9397702.11201448,14283884.6831204,14082941.3784325
"143",9382332.77406862,14513939.2900357,14117305.4003405
"144",9251251.76499349,14331548.7376238,14143009.5730763
"145",9071467.87262365,14296999.6222523,14362495.4430384
"146",9139271.3814226,14458423.1022799,14269762.1354842
"147",9261140.22464972,14580231.707421,14042883.1800436
"148",9476067.22680946,14634912.8274196,14106064.1403926
"149",9657470.88941786,14377142.0463326,14134462.676666
"150",9687053.85909286,14153424.5110949,13661710.2195321
"151",9556181.17137025,14242484.5011653,13834083.4512671
"152",9725124.98599577,14151974.5934068,13774497.4546995
"153",9509733.57754359,13939262.5169152,13630142.5841236
"154",9402043.32946951,13816993.7266713,13829513.4484539
"155",9513090.87168697,13844948.7526855,13781803.1461891
"156",9410066.74638958,13813098.9408862,13632975.4396299
"157",9466221.13230472,13680618.140162,14093839.6454501
"158",9448988.1011046,13741108.7473345,14209729.7128351
"159",9410482.86902127,13830123.0326492,14300680.9504355
"160",9398714.31621987,13935557.9811564,14281512.6996401
"161",9401567.56987991,13695903.0123293,14280023.9468153
"162",9223312.71148968,14018936.8230108,14148697.0503423
"163",9338458.14948745,14211996.1212399,13970101.350284
"164",9418326.0104836,14233057.0369465,14011395.9378052
"165",9452699.76837677,14368730.6133403,14194212.7912535
"166",9374965.48220199,14242454.0311281,14131130.4889428
"167",9474344.84428411,14372624.8034308,14204061.8012819
"168",9569464.57593923,14348767.6895926,13957202.1599961
"169",9577960.61593577,14329872.6926432,14106779.856025
"170",9531078.15907622,14098070.473963,14123127.4156094
"171",9508431.28203586,14334284.6117936,14320071.5387198
"172",9245302.00969504,14344943.9929673,14444191.5102032
"173",9251810.82715832,14264258.1111573,14495605.4086756
"174",9293241.30475155,14015502.4106282,14278314.8326853
"175",9203419.31229428,13806003.4310446,14420369.607753
"176",9241099.05859065,13691955.4486693,14352393.2766059
"177",9275682.09863162,13683751.039796,14467336.7275745
"178",9409949.17600028,13585494.5838342,14477469.4180609
"179",9221266.24524772,13680502.0384371,14361178.1270811
"180",9175857.81176747,13660923.2779494,13909821.9762263
