"","S.cases","S","S"
"1",0.0190757066174913,0.240435617805725,0.00262733293909992
"2",0.0742476257039206,0.409391024279817,0.00933927670457158
"3",0.216996223752343,0.662013882165971,0.0295728957209576
"4",0.474959231001795,0.907146550571368,0.0835782311457081
"5",0.782728950406649,1,0.20558394835195
"6",0.988689053339317,0.890338518893431,0.423097464152473
"7",1,0.683798659594163,0.70526796903674
"8",0.886694609970547,0.526179006749214,0.939395731066845
"9",0.769608951837604,0.46719136475502,1
"10",0.656191537201826,0.437997948629707,0.849745341128947
"11",0.520923481091551,0.427702386302398,0.593185345388241
"12",0.35411580714372,0.400018689729602,0.293965231740336
"13",0.192495465923357,0.315238229350781,0.0873333449359523
"14",0.0802695931194744,0.192727217935168,0.0151835565920462
"15",0.0251158534282142,0.088227682869785,0.0016836185803776
"16",0.00583188641280069,0.0298577620253877,0.000141474514516766
"17",0.00099952190094289,0.00743717343550275,1.00832051252643e-05
"18",0.000126115691554947,0.00136153010944132,5.84349414335485e-07
"19",1.17003460098106e-05,0.000183107985757578,2.56986679713033e-08
"20",7.97668809231252e-07,1.80875384593096e-05,8.35064438570063e-10
"21",3.99500645974503e-08,1.31226402390821e-06,1.99431161460961e-11
"22",1.46968576777715e-09,6.99238155440304e-08,3.49822733928288e-13
"23",3.97114328308314e-11,2.7364575048377e-09,4.506742467143e-15
"24",7.88092712385146e-13,7.86522564413055e-11,4.2641845120621e-17
"25",1.14869140681997e-14,1.66032186865948e-12,2.96324615516371e-19
"26",1.22967600194723e-16,2.57413859329878e-14,1.51236968673428e-21
"27",9.66802661815783e-19,2.93109619003771e-16,5.66900306258489e-24
"28",5.5826975568953e-21,2.45124496093223e-18,1.56068017081191e-26
"29",2.367604502652e-23,1.50557311719887e-20,3.15558313717633e-29
"30",7.37450459125793e-26,6.79165291039923e-23,4.68601672123066e-32
